Research_paper,Question,Chunking Size,answer_relevancy,faithfulness,answer_correctness
1,1,900,,,
1,1,1200,,,
1,1,1500,,,
1,1,1800,,,
1,1,2100,,,
2,1,900,0.961656193750262,1.0,0.3777028653844811
2,1,1200,0.9511653901172304,1.0,0.4581092422849592
2,1,1500,0.964522329274965,0.96875,0.31320526674978655
2,1,1800,0.9474385007090446,1.0,0.37301214056560406
2,1,2100,0.9402166593262995,0.9655172413793104,0.40733111395435695
2,2,900,0.975541439800986,1.0,0.22121906575838604
2,2,1200,0.975541439800986,1.0,0.2195013817630047
2,2,1500,0.975541439800986,1.0,0.21983926860055208
2,2,1800,0.975541439800986,1.0,0.22388890572038617
2,2,2100,0.9755193676269309,1.0,0.22067071531921015
2,3,900,0.9670225585700694,0.9565217391304348,0.5883505128445535
2,3,1200,0.9378513400460733,1.0,0.26731528913661695
2,3,1500,0.9378563185948998,1.0,0.36077137355666367
2,3,1800,0.9652847292599134,0.8974358974358975,0.3838491551069946
2,3,2100,0.9055903172627682,1.0,0.4152609869644258
