Research_paper,Question,k value,answer_relevancy,faithfulness,answer_correctness
1,1,4,,,
1,1,5,,,
1,1,6,,,
1,1,7,,,
1,1,8,,,
2,1,4,0.9454650109032016,0.9565217391304348,0.553122478819527
2,1,5,0.9454371871843507,1.0,0.45652820475896627
2,1,6,0.9482659153576847,1.0,0.5405037767820365
2,1,7,0.956866250721063,1.0,0.3206729351904235
2,1,8,0.9616673683476794,1.0,0.3572632866485278
2,2,4,0.975541439800986,1.0,0.2193050440140869
2,2,5,0.975541439800986,1.0,0.22000003616975647
2,2,6,0.9755155013765574,1.0,0.21933139182821365
2,2,7,0.9755193676269309,1.0,0.21906897035530093
2,2,8,0.975541439800986,1.0,0.22043853427974297
2,3,4,0.9440433461453295,1.0,0.37194253172782094
2,3,5,0.8890209966987498,1.0,0.4637134625579119
2,3,6,0.9791965148547872,1.0,0.3627282664454873
2,3,7,0.9764295937682803,1.0,0.45810490768838535
2,3,8,0.950989691895803,1.0,0.4298762077101017
